filename,number_ipv6_packets,number_flow_packets,number_ipv6_conversations,hop_by_hop_header,routing_header,fragment_header,destination_header,authentication_header,encapsulation_header,average_packet_length_per_traffic,min_packet_length_per_traffic,max_packet_length_per_traffic,average_packet_length_per_flow,min_packet_length_per_flow,max_packet_length_per_flow,average_number_packets_per_flow,min_number_packets_per_flow,max_number_packets_per_flow,average_ipg_per_traffic,packets_per_second,Sum A ← B,Min A ← B,Max A← B,Average Packets A ← B,Sum A → B,Min A → B,Max A → B,Average A → B,Min Length/Conversation (Bytes),Max Length/Conversation (Bytes),Average Length/Conversation (Bytes),Min Number Packets/Conversation,Max Number Packets/Conversation,Average Number Packets/Conversation,Min Duration/Conversation,Max Duration/Conversation,Average Duration/Conversation
equinix-nyc.dirA.20181115-125910.UTC.anon.ipv6.pcap,340975,51889,10666,0,0,421,0,0,0,193.27,50,1504,264.83 ,60,1504,2.22,1,2137,0.000145270,6883.767681123,306242,0,84042,28.7119,34312,0,1382,3.2169,0,11747137,6145.47,1,84042,31.92,0,49.5332,21.1244
equinix-nyc.dirA.20181115-130000.UTC.anon.ipv6.pcap,396702,62581,11795,0,0,536,0,0,0,181.59,50,1504,265.08 ,60,1504,2.07,1,927,0.000151247,6611.736474746,359036,0,106142,30.4396,37130,0,1265,3.1479,0,14825919,6070.76,1,106142,33.58,0,59.9989,24.7054
equinix-nyc.dirA.20181115-130100.UTC.anon.ipv6.pcap,409450,63208,11864,0,0,552,0,0,0,189.26,52,1504,277.66 ,60,1504,2.10,1,3155,0.000146538,6824.181224919,376508,0,103855,31.7353,32390,0,1158,2.7301,0,14530300,6492.65,1,103855,34.46,0,59.9997,24.3564
equinix-nyc.dirA.20181115-130200.UTC.anon.ipv6.pcap,426024,81414,12008,0,0,578,0,0,0,229.09,52,1504,453.98 ,60,1504,2.77,1,13073,0.000140837,7100.406627046,386592,0,104235,32.1945,38854,0,1470,3.2356,0,16774764,8085.41,1,104235,35.43,0,59.9995,25.2665
equinix-nyc.dirA.20181115-130300.UTC.anon.ipv6.pcap,429183,84297,12003,0,0,508,0,0,0,238.81,52,1569,558.06 ,60,1504,2.90,1,11230,0.000139800,7153.081235121,387266,0,103951,32.2641,41409,0,1212,3.4498,0,16542265,8503.00,1,103951,35.71,0,59.9997,24.0454
equinix-nyc.dirA.20181115-130400.UTC.anon.ipv6.pcap,407569,75615,12157,0,0,532,0,0,0,230.98,50,1559,534.81 ,60,1504,2.62,1,9448,0.000147214,6792.855385942,372849,0,103402,30.6694,34188,0,1395,2.8122,0,26390802,7704.46,1,103402,33.48,0,59.9985,23.3614
equinix-nyc.dirA.20181115-130500.UTC.anon.ipv6.pcap,417524,75182,11885,0,0,607,0,0,0,215.23,52,2060,481.66 ,60,1504,2.52,1,6964,0.000143704,6958.766967373,383684,0,104032,32.2830,33233,0,1060,2.7962,0,14553393,7517.86,1,104032,35.07,0,59.9991,24.9409
equinix-nyc.dirA.20181115-130600.UTC.anon.ipv6.pcap,418180,75966,11941,0,0,717,0,0,0,207.46,52,1504,382.46 ,60,1504,2.52,1,5591,0.000143477,6969.771910222,377403,0,104197,31.6056,40060,0,1250,3.3548,0,14593125,7212.02,1,104197,34.96,0,59.9990,24.6348
equinix-nyc.dirA.20181115-130700.UTC.anon.ipv6.pcap,435220,83483,11846,0,0,645,0,0,0,221.46,52,1504,479.58 ,60,1504,2.72,1,8416,0.000137861,7253.708979969,395816,0,103935,33.4134,38759,0,1275,3.2719,0,14545609,8089.21,1,103935,36.68,0,59.9991,25.1112
equinix-nyc.dirA.20181115-130800.UTC.anon.ipv6.pcap,409839,69379,11951,0,0,490,0,0,0,178.67,52,1504,296.63 ,60,1504,2.29,1,989,0.000146399,6830.684722647,368042,0,104247,30.7959,41307,0,1600,3.4563,0,14591504,6098.67,1,104247,34.25,0,59.9997,24.4440
equinix-nyc.dirA.20181115-130900.UTC.anon.ipv6.pcap,397198,63308,11904,0,0,531,0,0,0,148.14,52,1789,196.49 ,60,1504,2.04,1,1178,0.000151058,6619.999104662,359290,0,103600,30.1822,37377,0,1275,3.1398,0,14492015,4910.41,1,103600,33.32,0,59.9994,24.3277
equinix-nyc.dirA.20181115-131000.UTC.anon.ipv6.pcap,411771,64546,11930,0,0,515,0,0,0,157.60,52,1504,228.38 ,60,1504,2.18,1,1824,0.000145712,6862.867500312,366701,0,104120,30.7377,44555,0,1858,3.7347,0,14555796,5407.63,1,104120,34.47,0,59.9995,25.3447
equinix-nyc.dirA.20181115-131100.UTC.anon.ipv6.pcap,408089,65478,11847,0,0,557,0,0,0,174.96,52,1504,304.29 ,60,1504,2.20,1,1564,0.000147026,6801.519268026,362975,0,102753,30.6385,44557,0,1269,3.7610,0,14359437,5988.45,1,102753,34.39,0,59.9994,24.2643
equinix-nyc.dirA.20181115-131200.UTC.anon.ipv6.pcap,399730,68140,11978,0,0,646,0,0,0,174.04,52,1504,336.23 ,60,1504,2.28,1,4151,0.000150102,6662.173439876,359680,0,103993,30.0283,39404,0,1800,3.2896,0,14510671,5763.36,1,103993,33.31,0,59.9994,24.8621
equinix-nyc.dirA.20181115-131300.UTC.anon.ipv6.pcap,416984,73997,11927,0,0,660,0,0,0,170.70,52,2070,317.90 ,60,1504,2.44,1,3854,0.000143890,6949.794028201,375308,0,103599,31.4670,41016,0,1525,3.4389,0,14482085,5922.29,1,103599,34.90,0,59.9994,25.2114
equinix-nyc.dirA.20181115-131400.UTC.anon.ipv6.pcap,400509,65395,12088,0,0,546,0,0,0,160.79,52,1504,275.83 ,60,1504,2.22,1,3936,0.000149809,6675.173140600,354343,0,102630,29.3136,45620,0,2370,3.7739,0,14333380,5291.90,1,102630,33.08,0,59.9998,24.0450
equinix-nyc.dirA.20181115-131500.UTC.anon.ipv6.pcap,419397,71195,12040,0,0,482,0,0,0,165.80,52,1504,301.19 ,60,1504,2.32,1,6065,0.000143060,6990.072442768,373054,0,104943,30.9845,45861,0,1885,3.8090,0,14652756,5745.02,1,104943,34.79,0,59.9989,25.1110
equinix-nyc.dirA.20181115-131600.UTC.anon.ipv6.pcap,417083,70725,11849,0,0,470,0,0,0,204.87,52,1504,351.78 ,60,1504,2.34,1,6969,0.000143856,6951.419596572,374113,0,102468,31.5733,42500,0,1552,3.5868,0,14333187,7180.05,1,102468,35.16,0,59.9997,24.5239
equinix-nyc.dirA.20181115-131700.UTC.anon.ipv6.pcap,425414,78879,11965,0,0,560,0,0,0,253.83,52,1504,540.85 ,60,1504,2.70,1,8225,0.000141036,7090.401139493,380389,0,102238,31.7918,44465,0,1455,3.7162,0,16001022,8982.90,1,102238,35.50,0,59.9983,24.1177
equinix-nyc.dirA.20181115-131800.UTC.anon.ipv6.pcap,411501,66777,11948,0,0,575,0,0,0,214.93,52,1504,383.77 ,60,1504,2.25,1,9428,0.000145808,6858.359716009,373982,0,103728,31.3008,36944,0,1900,3.0920,0,14529470,7362.66,1,103728,34.39,0,59.9999,25.3083
equinix-nyc.dirA.20181115-131900.UTC.anon.ipv6.pcap,415789,77928,11897,0,0,654,0,0,0,224.82,52,1504,447.68 ,60,1504,2.65,1,11982,0.000144304,6929.853394889,375108,0,102258,31.5296,40027,0,1475,3.3644,0,17611935,7807.65,1,102258,34.89,0,59.9982,24.4202
equinix-nyc.dirA.20181115-132000.UTC.anon.ipv6.pcap,414872,81698,11943,0,0,668,0,0,0,219.23,52,1504,525.66 ,60,1504,2.74,1,7169,0.000144623,6914.554192238,377837,0,103870,31.6366,36367,0,1290,3.0450,0,14545186,7568.86,1,103870,34.68,0,59.9991,25.0231
